7zip	26.01
luajit	1:2.1.1780076327+gb925b3e
lv2	1.18.10-7
lz4	1.10.0-1
lzop	1.04-2
m4	1.4.19-5
make	4.4.1-1
mesa-demos	9.0.0-7
mesa-vulkan-icd-freedreno	26.0.6-1
mesa-vulkan-icd-swrast	26.0.6-1
mesa-zink	22.0.5-5
milou	6.7.0
mpv	0.41.0-2
nano	9.0
ncurses	6.6.20260307+really6.5.20250830
ncurses-glibc	6.5.20241102
ncurses-ui-libs	6.6.20260307+really6.5.20250830
ncurses-utils	6.6.20260307+really6.5.20250830
ndk-sysroot	29-2
net-tools	2.10.0-1
newsboat	2.43
nodejs	26.3.1
npm	11.17.0
ocean-sound-theme	6.7.0
ocl-icd	2.3.5
okular	26.04.2
oniguruma	6.9.10-1
openal-soft	1.25.2-1
opencv	4.13.0-2
openexr	3.4.4
opengl	4.5
openh264	2.6.0-1
openjpeg	2.5.4
openjpeg-tools	2.5.4
openssh	10.4p1
openssh-sftp-server	10.3p1-1
openssl	1:3.6.3
openssl-glibc	3.4.1
pandoc	3.9
pango	1.57.1
patch	2.8-1
patchelf-glibc	0.18.0
pcaudiolib	1.3-1
pcre2	10.47
perl	5.42.0
perl-glibc	5.38.2
phonon-qt6	4.12.0
phonon-qt6-vlc	0.12.0
pinentry	1.3.2-2
pipewire	1.4.9-1
pkg-config	0.29.2-3
plasma-activities	6.7.0
plasma-activities-stats	6.7.0
plasma-browser-integration	6.6.5
plasma-desktop	6.6.5-1
plasma-integration	6.7.0
plasma-nm	6.6.5-1
plasma-pa	6.7.0
plasma-systemmonitor	6.7.0
plasma-workspace	6.6.5-1
plasma-workspace-wallpapers	6.7.0
plasma5support	6.7.0
poppler	26.02.0
poppler-qt	26.02.0
postgresql	18.2
powerdevil	6.6.5-1
print-manager	6.6.5
procps	3.3.17-6
proot	5.1.107.80
proot-distro	5.3.0
psmisc	23.7-1
pulseaudio	17.0-1
pulseaudio-glib	17.0-1
pulseaudio-qt	1.8.1
python	3.13.13-1
python-ensurepip-wheels	3.13.13-1
python-lxml	6.1.1
python-pip	26.1.2
qalc	5.11.0
qalculate-gtk	5.11.0
qca	2.3.10-1
qcoro	0.13.0
qqc2-breeze-style	6.7.0
qt5-qtbase	5.15.18-4
qt5-qtsvg	5.15.18
qt5-qtx11extras	5.15.18
qt6-qt5compat	6.11.1
qt6-qtbase	6.11.1
qt6-qtconnectivity	6.11.1
qt6-qtdeclarative	6.11.1
qt6-qtimageformats	6.11.1
qt6-qtlocation	6.11.1
qt6-qtmultimedia	6.11.1
qt6-qtpositioning	6.11.1
qt6-qtsensors	6.11.1
qt6-qtspeech	6.11.1-1
qt6-qtsvg	6.11.1
qt6-qttools	6.11.1
qt6-qtvirtualkeyboard	6.11.1
qt6-qtwayland	6.11.1
qt6-qtwebsockets	6.11.1
qt6-shadertools	6.11.1
readline	8.3.3
readline-glibc	8.2.13
resolv-conf	1.3
rhash	1.4.6-1
ripgrep	15.1.0-2
ripgrep-all	1:0.10.10
rubberband	4.0.0-1
ruby	3.4.1-2
runit	2.1.2-4
rust	1.96.0
rust-std-aarch64-linux-android	1.96.0
samba	4.16.11-6
sdl2	2.32.10
sed	4.9-2
serd	0.32.10
shared-mime-info	2.4-4
sord	0.16.22
sound-theme-freedesktop	0.8
spectacle	6.7.0
speechd	0.12.1-1
speechd-data	0.12.1-1
speexdsp	1.2.1-1
sratom	0.6.22
stfl	0.24-7
strace-glibc	6.11
svt-av1	4.1.0
systemsettings	6.7.0
taglib	2.3
tar	1.35-2
tdb-tools	1.4.15
termux-am	0.8.0-2
termux-am-socket	1.5.0-1
termux-api	0.59.1-1
termux-auth	1.5.0-1
